建檔日期	客戶名稱	業務	產業別	產品	數量	單價	合計
2013/6/24	XX銀行	怡文	金融業	玫瑰花	17	180	3060
2013/4/17	XX銀行	梓翔	金融業	玫瑰花	41	180	7380
2013/7/15	XXX壽	怡文	金融業	鬱金香	9	235	2115
2013/1/11	XX部	惠民	資訊業	百合花	57	90	5130
2013/6/11	金X證券	宏澤	金融業	玫瑰花	71	180	12780
2013/6/4	金X證券	宏澤	金融業	鬱金香	7	235	1645
2013/8/17	X山企業	玉文	資訊業	康乃馨	95	50	4750
2013/7/31	XX資安	瑤瑤	資訊業	杜鵑花	97	40	3880
2013/1/15	XX資訊	玉文	資訊業	百合花	90	90	8100
2013/6/7	X聯X	怡文	資訊業	百合花	8	90	720
2013/2/9	X博物院	玉文	政府機關	玫瑰花	97	180	17460
2013/7/12	XXX技	宏澤	金融業	百合花	4	90	360
2013/11/18	XX部	怡文	政府機關	鬱金香	55	235	12925
2013/10/19	X記洋行	宏澤	服務業	杜鵑花	60	40	2400
2013/6/14	XX麗X	玉文	製造業	杜鵑花	92	40	3680
2013/7/28	X泛X	梓翔	服務業	玫瑰花	77	180	13860
2013/6/17	X客多	宏澤	服務業	玫瑰花	97	180	17460
2013/1/12	和X超媒體	宏澤	服務業	鬱金香	50	235	11750
2013/1/13	X翔倉儲	玉文	服務業	百合花	81	90	7290
2013/4/13	X來水處	玉文	政府機關	玫瑰花	3	180	540
2013/8/28	網XX技	梓翔	資訊業	鬱金香	46	235	10810
2013/9/27	XX資安	梓翔	資訊業	康乃馨	66	50	3300
2013/12/6	X陽工業	梓翔	服務業	杜鵑花	28	40	1120
2013/3/1	X市X生局	梓翔	政府機關	百合花	81	90	7290
2013/5/21	茂X	瑤瑤	製造業	百合花	79	90	7110
2013/9/20	中X探採	怡文	製造業	玫瑰花	11	180	1980
2013/3/17	X特汽車	瑤瑤	製造業	百合花	51	90	4590
2013/4/9	X財產局	瑤瑤	政府機關	鬱金香	10	235	2350
2013/5/18	X半導體	宏澤	製造業	杜鵑花	39	40	1560
2013/12/10	合X	惠民	製造業	杜鵑花	43	40	1720
2013/3/10	聯XX)	宏澤	製造業	玫瑰花	39	180	7020
2013/1/20	X山企業	宏澤	製造業	玫瑰花	99	180	17820
2013/3/24	太X欣榮	玉文	製造業	鬱金香	4	235	940
2013/8/13	南X樹脂	惠民	製造業	百合花	100	90	9000
2013/11/4	XX	惠民	製造業	玫瑰花	56	180	10080
2013/7/3	X麗X技	惠民	製造業	鬱金香	41	235	9635
2013/10/24	X豐	玉文	製造業	杜鵑花	98	40	3920
2013/6/23	大X酒店	梓翔	服務業	杜鵑花	92	40	3680
2013/3/3	宏X集團	瑤瑤	製造業	百合花	14	90	1260
2013/9/4	X市政府	宏澤	政府機關	百合花	62	90	5580
2013/7/21	X銀行	玉文	金融業	玫瑰花	68	180	12240
2013/2/3	友X投X	宏澤	金融業	百合花	14	90	1260
2013/1/11	XXX	宏澤	製造業	鬱金香	83	235	19505
2013/4/9	捷X商訊	怡文	資訊業	康乃馨	80	50	4000
2013/5/7	大州X服務	梓翔	資訊業	杜鵑花	69	40	2760
2013/3/11	網XX技	玉文	資訊業	玫瑰花	22	180	3960
2013/7/24	XX	怡文	資訊業	玫瑰花	71	180	12780
2013/6/30	X視X技	瑤瑤	資訊業	鬱金香	9	235	2115
2013/2/7	X石X化學	宏澤	製造業	百合花	27	90	2430
2013/6/16	環X產物	怡文	製造業	玫瑰花	80	180	14400
2013/4/10	環X產物	玉文	金融業	鬱金香	21	235	4935
2013/3/7	XX壽	惠民	金融業	康乃馨	99	50	4950
2013/12/10	X紡	惠民	資訊業	百合花	38	90	3420
2013/2/9	仁X集團	玉文	製造業	百合花	86	90	7740
2013/6/1	X商銀	宏澤	金融業	鬱金香	5	235	1175
2013/5/29	台北銀行	惠民	金融業	康乃馨	72	50	3600
2013/9/11	X銀行	梓翔	金融業	杜鵑花	60	40	2400
2013/12/6	台X銀行	玉文	金融業	玫瑰花	45	180	8100
2013/6/13	X銀行	瑤瑤	金融業	玫瑰花	45	180	8100
2013/2/26	XX商銀	玉文	金融業	鬱金香	61	235	14335
2013/6/5	XX銀行	梓翔	金融業	百合花	72	90	6480
2013/12/8	萬X銀行	怡文	金融業	玫瑰花	41	180	7380
2013/6/24	土銀	宏澤	金融業	鬱金香	70	235	16450
2013/4/1	中X銀	惠民	金融業	鬱金香	88	235	20680
2013/6/11	誠X銀	惠民	金融業	百合花	23	90	2070
2013/11/13	X銀行	怡文	金融業	百合花	83	90	7470
2013/1/28	X工銀	梓翔	金融業	百合花	3	90	270
2013/7/26	合X	瑤瑤	金融業	玫瑰花	58	180	10440
2013/3/8	X銀	怡文	金融業	百合花	60	90	5400
2013/9/22	X銀行	玉文	金融業	鬱金香	13	235	3055
2013/2/9	X海銀行	梓翔	金融業	鬱金香	11	235	2585
2013/8/2	大X證	瑤瑤	金融業	百合花	79	90	7110
2013/7/30	X東證	玉文	金融業	玫瑰花	35	180	6300
2013/5/4	元x證	怡文	金融業	玫瑰花	8	180	1440
2013/7/22	中X銀證	宏澤	金融業	鬱金香	34	235	7990
2013/11/13	金XX銀證	玉文	金融業	百合花	70	90	6300
2013/4/18	XX投X	玉文	金融業	玫瑰花	16	180	2880
2013/10/22	X票券	宏澤	金融業	鬱金香	94	235	22090
2013/9/27	X島銀行	梓翔	金融業	鬱金香	100	235	23500
2013/1/15	X山銀行	怡文	金融業	百合花	59	90	5310
2013/8/17	X管中心	玉文	金融業	百合花	23	90	2070
2013/8/14	金X證券	怡文	金融業	百合花	15	90	1350
2013/5/24	XX期	怡文	金融業	玫瑰花	3	180	540
2013/4/13	XX民黨	惠民	政府機關	百合花	91	90	8190
2013/1/29	X籌備處	梓翔	政府機關	鬱金香	73	235	17155
2013/2/7	XX子中心	惠民	政府機關	鬱金香	52	235	12220
2013/7/21	X銀	惠民	金融業	百合花	67	90	6030
2013/5/2	XX壽	惠民	金融業	玫瑰花	25	180	4500
2013/8/7	XX視公司	瑤瑤	政府機關	玫瑰花	33	180	5940
2013/12/20	X豐銀行	玉文	金融業	鬱金香	54	235	12690
2013/2/5	XXX研究所	惠民	政府機關	百合花	22	90	1980
2013/9/7	xX證券	瑤瑤	金融業	玫瑰花	55	180	9900
2013/1/23	X島銀行	惠民	金融業	鬱金香	56	235	13160
2013/6/7	X迅X技	梓翔	資訊業	鬱金香	32	235	7520
2013/4/16	XXX腦	惠民	資訊業	百合花	24	90	2160
2013/4/4	X物流	玉文	服務業	百合花	98	90	8820
2013/6/3	凌群X腦	瑤瑤	資訊業	玫瑰花	49	180	8820
2013/4/11	APOL	惠民	服務業	百合花	89	90	8010
2013/12/8	XXX腦	瑤瑤	資訊業	鬱金香	42	235	9870
2013/4/20	優易X技	惠民	資訊業	鬱金香	52	235	12220
2013/7/16	XXX公司	梓翔	政府機關	百合花	52	90	4680
2013/6/6	X鋒-資訊安全顧問公司ISS	瑤瑤	服務業	玫瑰花	51	180	9180
2013/6/7	竹凡	怡文	資訊業	鬱金香	89	235	20915
2013/9/19	X鋒	瑤瑤	資訊業	玫瑰花	61	180	10980
2013/2/18	X廣	惠民	政府機關	仙人掌	13	60	780
2013/5/23	安X	宏澤	資訊業	百合花	33	90	2970
2013/3/23	X眾	梓翔	資訊業	百合花	69	90	6210
2013/5/26	X里醫院	宏澤	政府機關	玫瑰花	35	180	6300
2013/11/15	水X醫院	玉文	政府機關	百合花	3	90	270
2013/9/9	X銀行	惠民	資訊業	鬱金香	9	235	2115
2013/11/28	X時X銀行	宏澤	資訊業	鬱金香	69	235	16215
2013/5/29	X導資訊	玉文	製造業	百合花	50	90	4500
2013/11/14	X鵬工業	瑤瑤	製造業	玫瑰花	3	180	540
2013/10/21	X委會	怡文	政府機關	鬱金香	4	235	940
2013/5/31	X會	怡文	政府機關	玫瑰花	58	180	10440
2013/6/24	X事局	怡文	政府機關	鬱金香	73	235	17155
2013/7/13	X法院	玉文	政府機關	鬱金香	70	235	16450
2013/8/26	萌欣X	宏澤	資訊業	百合花	22	90	1980
2013/10/31	X局	宏澤	政府機關	百合花	54	90	4860
2013/7/5	艾XX	玉文	資訊業	百合花	36	90	3240
2013/11/29	X藥廠	惠民	製造業	玫瑰花	87	180	15660
2013/2/16	英X生	瑤瑤	製造業	百合花	55	90	4950
2013/8/10	X島銀行	惠民	金融業	鬱金香	72	235	16920
2013/4/7	三X企業	怡文	製造業	鬱金香	10	235	2350
2013/2/13	X加X傳X腦	惠民	資訊業	百合花	99	90	8910
2013/7/4	XX廣告	瑤瑤	服務業	玫瑰花	1	180	180
2013/7/7	台X消X局	梓翔	政府機關	玫瑰花	68	180	12240
2013/10/24	X心理系	瑤瑤	學校	鬱金香	71	235	16685
2013/2/17	XX企業	惠民	製造業	百合花	87	90	7830
2013/12/9	X技術	玉文	學校	玫瑰花	77	180	13860
2013/5/10	英XX	瑤瑤	資訊業	鬱金香	89	235	20915
2013/10/6	X分生所	瑤瑤	政府機關	鬱金香	54	235	12690
2013/7/28	XX台	怡文	政府機關	百合花	76	90	6840
2013/7/24	X大學	玉文	學校	百合花	87	90	7830
2013/9/8	XX大學	宏澤	學校	百合花	39	90	3510
2013/4/20	XXX北區網管處	惠民	政府機關	玫瑰花	48	180	8640
2013/4/6	群策X子	惠民	製造業	百合花	51	90	4590
2013/2/21	XX銀行	宏澤	金融業	鬱金香	42	235	9870
2013/6/16	X訊X子資訊學校	梓翔	學校	鬱金香	19	235	4465
2013/6/23	XXX研究所	怡文	政府機關	百合花	78	90	7020
2013/12/8	X技術	宏澤	學校	玫瑰花	85	180	15300
2013/12/19	X縣政府	玉文	政府機關	玫瑰花	71	180	12780
2013/12/8	中X院	玉文	政府機關	鬱金香	57	235	13395
2013/6/10	中X院	瑤瑤	政府機關	百合花	18	90	1620
2013/6/14	台X材	梓翔	製造業	玫瑰花	83	180	14940
2013/11/24	台X	怡文	製造業	鬱金香	26	235	6110
2013/5/25	南XX路	梓翔	製造業	鬱金香	50	235	11750
2013/2/26	台X政府X局	瑤瑤	政府機關	百合花	48	90	4320
2013/8/27	中XX子	怡文	製造業	百合花	68	90	6120
2013/11/14	仁XX腦	惠民	資訊業	百合花	56	90	5040
2013/1/16	X多媒體	玉文	服務業	玫瑰花	1	180	180
2013/1/26	XXX腦	梓翔	資訊業	百合花	72	90	6480
2013/12/23	XXX研究所	怡文	政府機關	鬱金香	47	235	11045
2013/9/4	X銀行	梓翔	金融業	鬱金香	5	235	1175
2013/11/15	廣XX腦	怡文	金融業	百合花	3	90	270
2013/6/22	XX管理	惠民	學校	鬱金香	66	235	15510
2013/1/1	元X大學資訊	惠民	學校	鬱金香	19	235	4465
2013/8/24	松x資訊X	宏澤	學校	百合花	29	90	2610
2013/10/2	萬X銀行	梓翔	金融業	百合花	99	90	8910
2013/5/28	大XX子	玉文	金融業	百合花	36	90	3240
2013/1/10	X總醫院	怡文	政府機關	玫瑰花	84	180	15120
2013/9/21	XX專X學校	梓翔	學校	百合花	73	90	6570
2013/2/2	x大學	瑤瑤	學校	鬱金香	22	235	5170
2013/1/31	x林資訊	瑤瑤	金融業	鬱金香	89	235	20915
2013/1/18	xX證券	怡文	金融業	百合花	8	90	720
2013/6/3	賽X基因	瑤瑤	金融業	百合花	9	90	810
2013/6/8	X書院	惠民	學校	百合花	41	90	3690
2013/2/11	X戰部	玉文	政府機關	玫瑰花	73	180	13140
2013/2/2	X東航空	宏澤	服務業	百合花	66	90	5940
2013/7/13	XX部	梓翔	政府機關	鬱金香	31	235	7285
2013/5/18	幸XX壽	怡文	金融業	鬱金香	47	235	11045
2013/2/7	XX紀資X	玉文	資訊業	玫瑰花	54	180	9720
2013/3/10	XX用卡中心	怡文	金融業	鬱金香	4	235	940
2013/12/31	美商安X樂	宏澤	服務業	百合花	15	90	1350
2013/3/29	台X局	梓翔	政府機關	玫瑰花	88	180	15840
2013/9/24	XX系統	瑤瑤	製造業	鬱金香	89	235	20915
2013/11/20	凱X共關係	宏澤	服務業	鬱金香	44	235	10340
2013/9/22	XXXX	梓翔	資訊業	百合花	72	90	6480
2013/11/1	歐X	玉文	服務業	百合花	42	90	3780
2013/11/9	X會	瑤瑤	政府機關	百合花	44	90	3960
2013/1/5	東XX技	怡文	資訊業	鬱金香	7	235	1645
2013/2/1	X原X技	梓翔	資訊業	鬱金香	14	235	3290
2013/4/9	X大學	瑤瑤	學校	百合花	38	90	3420
2013/9/26	X東工專	玉文	學校	百合花	82	90	7380
2013/4/12	X技術	梓翔	學校	百合花	84	90	7560
2013/3/16	XXX商業銀行	怡文	金融業	玫瑰花	68	180	12240
2013/6/30	海X	瑤瑤	政府機關	百合花	36	90	3240
2013/2/9	X水X	梓翔	政府機關	鬱金香	11	235	2585
2013/5/27	XXX小	瑤瑤	學校	鬱金香	85	235	19975
2013/6/20	X關稅局	瑤瑤	政府機關	百合花	87	90	7830
2013/10/2	XX銀行	怡文	金融業	玫瑰花	96	180	17280
2013/6/24	XX銀行	梓翔	金融業	玫瑰花	82	180	14760
2013/9/8	XXX壽	怡文	金融業	鬱金香	48	235	11280
2013/12/11	XX部	惠民	資訊業	百合花	38	90	3420
2013/4/11	金X證券	宏澤	金融業	玫瑰花	12	180	2160
2013/3/12	金X證券	宏澤	金融業	鬱金香	41	235	9635
2013/10/27	X山企業	玉文	資訊業	康乃馨	28	50	1400
2013/10/17	XX資安	瑤瑤	資訊業	杜鵑花	54	40	2160
2013/12/1	XX資訊	玉文	資訊業	百合花	2	90	180
2013/8/13	X聯X	怡文	資訊業	百合花	50	90	4500
2013/2/22	X博物院	玉文	政府機關	玫瑰花	70	180	12600
2013/7/27	XXX技	宏澤	金融業	百合花	11	90	990
2013/1/10	XX部	怡文	政府機關	鬱金香	48	235	11280
2013/8/24	X記洋行	宏澤	服務業	杜鵑花	2	40	80
2013/8/21	XX麗X	玉文	製造業	杜鵑花	35	40	1400
2013/4/2	X泛X	梓翔	服務業	玫瑰花	13	180	2340
2013/2/26	X客多	宏澤	服務業	玫瑰花	62	180	11160
2013/3/5	和X超媒體	宏澤	服務業	鬱金香	37	235	8695
